Policy_ID,Make_name,Model_name,Manufacture_year,Body_type_name,Policyholder_dob,City,gender,nationality,Discount,Price,Date,channel,Converted
P13155985,G.M.C.,YUKON,2007,SUV,6/12/1993,الجوف,Female,Saudi Arabia        ,0,1869.81,6/18/2025 0:00,Website,0
P39695861,HONDA,CITY,2024,SEDAN,8/4/1986,الرياض,Male,Saudi Arabia        ,288.46,1153.84,1/16/2025 0:00,Website,0
P45121527,MITSUBISHI,PAJERO,2016,JEEP,10/1/1982,جدة,Female,Saudi Arabia        ,128.12,1153.05,2/27/2025 0:00,App,0
P33101660,FORD,EXPLORER,2010,SUV,5/28/2004,الرياض,Male,Saudi Arabia        ,0,3566.34,5/5/2025 0:00,Website,0
P57402763,CHANGAN,Eado Plus,2023,SEDAN,8/26/1996,الرياض,Female,Saudi Arabia        ,0,2015.4,3/29/2025 0:00,Website,0
P14557152,TOYOTA,CAMRY,2021,SEDAN,8/1/1999,حفر الباطن,Male,Saudi Arabia        ,751.53,1753.56,7/4/2025 0:00,App,0
P54546093,HYUNDAI,ACCENT,2019,SEDAN,2/2/1993,جدة,Male,Sudan               ,0,1578.64,7/17/2025 0:00,App,0
P74020514,LEXUS,LS 460,2014,SEDAN,12/31/1977,الزلفي,Male,Saudi Arabia        ,264.23,616.53,7/18/2025 0:00,App,0
P82568418,MAZDA,6,2017,SEDAN,1/17/2001,المدينة المنورة,Male,Saudi Arabia        ,483.57,1934.28,5/15/2025 0:00,App,0
P40848395,B.M.W.,760,2023,SEDAN,3/6/1958,الرياض,Male,Saudi Arabia        ,0,640.37,3/1/2025 0:00,Website,0
P72449918,DODGE,CHARGER SE,2018,SEDAN,1/26/1995,الرياض,Male,Saudi Arabia        ,0,1895.11,7/3/2025 0:00,App,0
P80866444,CHEVROLET,TAHOE,2017,SUV,1/10/1981,القريات,Male,Saudi Arabia        ,187.51,1687.63,3/27/2025 0:00,App,1
P89062371,TOYOTA,LCRUSER GXR,2017,SUV,12/22/1991,الخرج,Male,Saudi Arabia        ,621.88,932.82,4/29/2025 0:00,Agent,0
P55073603,FORD,PICK UP,2018,PICKUP,6/2/1981,الرياض,Male,Saudi Arabia        ,0,1231.72,6/16/2025 0:01,Website,1
P83915159,CHEVROLET,TAHOE,2017,SUV,1/10/1981,القريات,Male,Saudi Arabia        ,0,1687.63,5/3/2025 0:01,App,1
P68936689,TOYOTA,CAMRY,2007,SEDAN,9/2/1976,الهفوف,Male,Saudi Arabia        ,0,913.88,4/13/2025 0:01,App,0
P63427984,HYUNDAI,AZERA,2013,SEDAN,2/9/1993,الطائف,Male,Saudi Arabia        ,0,1379.89,2/27/2025 0:01,Website,0
P20020051,LINCOLIN,TOWNCAR,2000,SEDAN,7/19/1982,جدة,Male,Egypt               ,0,852.31,2/13/2025 0:01,App,0
P15784338,HYUNDAI,ACCENT,2021,SEDAN,8/5/1994,مكة المكرمة,Female,Saudi Arabia        ,141.03,1269.26,7/16/2025 0:01,Website,0
P17447936,TOYOTA,INNOVA,2016,SUV,1/1/1986,المدينة المنورة,Male,Egypt               ,0,1471.76,4/3/2025 0:01,App,0
P99524628,CHEVROLET,LUMINA S,2007,SEDAN,6/18/1977,المدينة المنورة,Male,Saudi Arabia        ,0,1438.69,3/28/2025 0:01,Website,0
P16683080,TOYOTA,CRESEDA GL,1986,SEDAN,1/1/1963,خميس مشيط,Male,Egypt               ,395.94,600,5/9/2025 0:01,App,0
P93156474,CHEVROLET,CAPRICE LS,2011,SEDAN,12/5/1986,الدمام,Male,Saudi Arabia        ,0,1279.96,7/4/2025 0:01,Website,0
P62512807,LEXUS,RX 350,2010,SUV,3/10/1983,الرياض,Male,Kuwait              ,0,1290.06,4/10/2025 0:01,App,0
P50692558,TOYOTA,H.BACK,2004,SEDAN,3/19/1999,جدة,Male,Egypt               ,0,1705.07,4/2/2025 0:01,App,1
P28118241,LEXUS,NX350,2024,SUV,1/10/1959,حائل,Male,Saudi Arabia        ,893.23,893.23,1/29/2025 0:01,Website,0
P85126486,NISSAN,PICK-UP,2013,PICKUP,11/28/1962,رفحاء,Male,Saudi Arabia        ,0,1406.19,3/8/2025 0:01,App,0
P17685088,HYUNDAI,ELANTRA,2017,SEDAN,2/1/1957,الرياض,Male,Saudi Arabia        ,0,1931.69,4/18/2025 0:02,Website,0
P40163907,LEXUS,NX350,2024,SUV,1/10/1959,حائل,Male,Saudi Arabia        ,0,893.23,6/21/2025 0:02,Website,1
P64937906,HYUNDAI,ELANTRA,2012,SEDAN,1/1/1997,الخبر,Male,Egypt               ,0,2053.47,2/18/2025 0:02,Website,0
P83025975,HYUNDAI,ACCENT,2010,SEDAN,6/21/1978,الرياض,Male,Kuwait              ,0,1509.65,5/27/2025 0:02,App,0
P18934895,TOYOTA,AURION,2011,SEDAN,8/3/1995,الدمام,Male,Saudi Arabia        ,0,1014.03,1/4/2025 0:02,App,0
P93804105,KIA,CARENS,2008,SUV,1/1/1984,الرياض,Male,Albania             ,0,1403,3/12/2025 0:02,App,0
P85733140,HYUNDAI,SONATA,2012,SEDAN,3/18/1999,عرعر,Male,Saudi Arabia        ,0,2586.94,3/17/2025 0:02,App,1
P37649456,TOYOTA,AURION GRAND,2012,SEDAN,8/11/1972,الدمام,Male,Saudi Arabia        ,337.54,787.59,7/9/2025 0:02,App,1
P22055651,TOYOTA,COROLLA,2012,SEDAN,9/29/1971,تبوك,Male,Kuwait              ,729.3,729.3,1/22/2025 0:02,Agent,0
P86955560,HYUNDAI,ACCENT,2021,SEDAN,8/5/1994,مكة المكرمة,Female,Saudi Arabia        ,141.03,1269.26,4/9/2025 0:02,App,1
P88507736,MAZDA,6,2023,SEDAN,7/24/1974,الدمام,Female,Saudi Arabia        ,0,1137.74,6/15/2025 0:02,App,0
P33381456,KIA,CERATO,2013,SEDAN,1/1/1984,الدمام,Male,Egypt               ,160.57,1445.15,4/27/2025 0:03,Agent,0
P70679763,TOYOTA,COROLLA,2018,SEDAN,10/8/1993,الدمام,Male,Saudi Arabia        ,1075.57,1075.57,7/6/2025 0:03,Website,0
P84476978,TOYOTA,SEQUOIA,2014,SUV,5/27/1975,تبوك,Male,Saudi Arabia        ,0,1046.81,1/12/2025 0:03,Website,1
P49344028,HYUNDAI,ELANTRA,2017,SEDAN,7/3/1990,جدة,Female,Saudi Arabia        ,0,1102.76,5/5/2025 0:03,App,0
P45973905,FORD,TAURUS,2015,SEDAN,12/19/1990,الرياض,Male,Saudi Arabia        ,0,1826.82,2/9/2025 0:03,Agent,0
P62666983,TOYOTA,HILUX  GL,2015,PICKUP,5/5/1981,سبت العلايه,Male,Saudi Arabia        ,0,1244.04,7/15/2025 0:03,Website,0
P55124985,NISSAN,SUNNY,2010,SEDAN,6/7/1978,الرياض,Female,Saudi Arabia        ,0,1669.68,3/11/2025 0:03,Website,0
P80161632,NISSAN,PICK-UP,2013,PICKUP,11/28/1962,رفحاء,Male,Saudi Arabia        ,0,1406.19,4/13/2025 0:03,App,0
P99236651,NISSAN,PATHFINDER,2003,SUV,5/19/1998,ابها,Male,Saudi Arabia        ,0,1864.25,5/25/2025 0:03,Website,0
P92778458,TOYOTA,CAMRY,2020,SEDAN,2/10/1999,القطيف,Male,Saudi Arabia        ,0,1739.35,5/7/2025 0:04,App,0
P68015371,TOYOTA,CAMRY,2008,SEDAN,2/18/1985,مكة المكرمة,Male,Saudi Arabia        ,0,1003.73,2/8/2025 0:04,Website,0
P85880103,TOYOTA,COROLLA,2013,SEDAN,7/21/1974,المندق,Female,Saudi Arabia        ,0,1870.13,7/6/2025 0:04,App,0
P78528378,TOYOTA,RAV 4,2023,JEEP,6/26/1989,الجبيل,Male,Saudi Arabia        ,219.49,877.94,2/23/2025 0:04,App,0
P15384859,TOYOTA,COROLLA,2004,SEDAN,9/28/1996,جدة,Male,Egypt               ,0,1491.79,5/18/2025 0:04,App,1
P84176696,TOYOTA,CAMRY,2007,SEDAN,9/2/1976,الهفوف,Male,Saudi Arabia        ,0,1057.57,4/30/2025 0:04,App,0
P97185485,KIA,OPTIMA,2012,SEDAN,12/17/1996,الرياض,Male,Australia           ,0,1651.77,2/4/2025 0:04,App,0
P32441541,TOYOTA,YARIS,2011,SEDAN,11/16/1990,الخرج,Female,Saudi Arabia        ,589.44,1375.35,2/3/2025 0:04,App,0
P41525963,TOYOTA,COROLLA,2007,SEDAN,7/5/1993,الباحه,Male,Egypt               ,0,2021.64,1/3/2025 0:04,App,0
P43008502,TOYOTA,H.BACK,2004,SEDAN,3/19/1999,جدة,Male,Egypt               ,0,1705.07,5/20/2025 0:04,Website,0
P78269561,TOYOTA,COROLLA,2010,SEDAN,7/1/1978,مكة المكرمة,Male,South Sudan,0,914.68,5/8/2025 0:04,App,0
P81792937,TOYOTA,CAMRY,2010,SEDAN,9/24/1968,صامطه,Male,Saudi Arabia        ,0,1632.46,1/16/2025 0:05,Agent,0
P53876004,TOYOTA,RAV 4,2000,JEEP,1/5/1990,الدرعية,Male,Egypt               ,179.67,1617,5/4/2025 0:05,App,0
P18129025,NISSAN,PATHFINDER,2003,SUV,2/23/1983,ابها,Male,Saudi Arabia        ,165.66,1490.94,1/31/2025 0:05,App,0
P11143654,CHEVROLET,SUBURBN,1999,SUV,10/12/2002,القريات,Male,Saudi Arabia        ,0,1913.39,7/5/2025 0:05,Website,0
P76892489,TOYOTA,CAMRY,2007,SEDAN,9/2/1976,الهفوف,Male,Saudi Arabia        ,0,913.88,2/6/2025 0:05,Website,0
P87936334,TOYOTA,COROLLA,2020,SEDAN,9/11/2002,الدوادمي,Male,Saudi Arabia        ,173.87,1564.79,1/20/2025 0:05,App,0
P22539436,LEXUS,LS 400,2005,SEDAN,10/11/1994,الطائف,Male,Saudi Arabia        ,0,902.99,1/22/2025 0:05,App,0
P59043799,TOYOTA,COROLLA,2014,SEDAN,8/1/1998,المدينة المنورة,Male,Saudi Arabia        ,0,1325.15,1/22/2025 0:05,App,0
P61463605,TOYOTA,RAV 4,2023,JEEP,6/26/1989,الجبيل,Male,Saudi Arabia        ,219.49,877.94,2/7/2025 0:05,App,0
P46410181,NISSAN,PATROL,2016,JEEP,11/20/1992,نجران,Male,Saudi Arabia        ,0,1564.62,3/19/2025 0:06,Website,0
P59557394,TOYOTA,CAMRY,2019,SEDAN,5/7/1997,مكة المكرمة,Male,United Nation,0,1593.55,1/27/2025 0:06,Website,0
